feature,H,p_value,epsilon_sq
alcohol,152.20526246432655,8.892977582702971e-34,0.14798548026042024
volatile acidity,128.37243059775724,1.3313151722454669e-28,0.12450485773178054
sulphates,96.43768465703108,1.1450457864348653e-21,0.0930420538492917
citric acid,64.7703231630798,8.615947214381582e-15,0.06184268291929044
chlorides,39.24695878638389,3.003524534028925e-09,0.03669651111959004
density,30.249028539730173,2.700890088506093e-07,0.02783155521155682
total sulfur dioxide,29.21934522270632,4.5195979447223344e-07,0.026817088889365834
fixed acidity,14.18118240815476,0.0008329048033028396,0.01200116493414262
pH,13.052291640025523,0.00146463997141936,0.010888957280813323
free sulfur dioxide,8.631993701200152,0.013353231672289885,0.006533983942069115
residual sugar,2.7972118447812635,0.24694097898369471,0.0007854303889470577
